Year,Annual Maximum Temperature (degF),Annual Maximum Temperature date,Annual Minimum Temperature (degF),Annual Minimum Temperature date,Annual Average Temperature (degF)
1892,,,,,
1893,55,1893-07-17,-9,1893-01-17,33.6
1894,56,1894-07-31,-13,1894-02-28,31.4
1895,,,,,
1896,,,,,
1897,,,,,
1898,,,,,
1899,,,,,
1900,,,,,
1901,,,,,
1902,,,,,
1903,,,,,
1904,,,,,
1905,,,,,
1906,,,,,
1907,,,,,
1908,,,,,
1909,,,,,
1910,,,,,
1911,,,,,
1912,,,,,
1913,,,,,
1914,,,,,
1915,59,1915-09-07,19,1915-12-26,40.3
1916,61,1916-07-21,-5,1916-12-30,32.7
1917,54,1917-08-11,-12,1917-01-21,31.7
1918,58,1918-07-12,-6,1918-02-28,33.4
1919,56,1919-08-03,-26,1919-01-27,32.1
1920,51,1920-08-10,-7,1920-02-07,31.3
1921,54,1921-08-15,-11,1921-02-07,34
1922,56,1922-07-24,-3,1922-03-07,36
1923,56,1923-09-03,1,1923-02-27,36.1
1924,56,1924-06-23,-3,1924-02-11,34.1
1925,62,1925-09-12,-12,1925-02-07,35.9
1926,62,1926-08-13,7,1926-02-23,37.7
1927,55,1927-07-28,-4,1927-03-19,33.6
1928,51,1928-09-01,-2,1928-03-27,33.1
1929,55,1929-08-31,2,1929-03-15,36.8
1930,56,1930-08-24,1,1930-03-17,34.8
1931,58,1931-08-31,1,1931-02-21,35.3
1932,55,1932-08-16,4,1932-02-26,36
1933,55,1933-07-26,-15,1933-03-15,34.7
1934,55,1934-09-13,-7,1934-03-02,35.5
1935,57,1935-08-31,5,1935-02-11,38.5
1936,64,1936-08-13,-2,1936-03-02,37.2
1937,57,1937-08-09,8,1937-12-30,38.9
1938,58,1938-07-22,-7,1938-03-24,34.6
1939,55,1939-07-19,-1,1939-01-22,33.7
1940,57,1940-08-07,-7,1940-02-13,33.8
1941,64,1941-08-15,-6,1941-03-07,36.4
1942,53,1942-05-23,11,1942-03-19,32.8
1943,41,1943-11-15,14,1943-12-19,29.2
1944,55,1944-08-20,-5,1944-02-10,34
1945,63,1945-08-04,0,1945-03-24,35.2
1946,51,1946-09-01,-6,1946-02-28,32.4
1947,53,1947-08-05,-17,1947-03-12,33.2
1948,57,1948-07-16,-6,1948-03-06,33.4
1949,55,1949-08-25,0,1949-02-09,34.9
1950,60,1950-08-11,11,1950-02-24,35.9
1951,57,1951-08-22,-2,1951-03-27,35.8
1952,51,1952-09-09,5,1952-02-13,34.9
1953,62,1953-07-03,-7,1953-03-29,33.8
1954,53,1954-08-03,-12,1954-02-25,32.4
1955,56,1955-07-31,2,1955-04-04,33.6
1956,58,1956-08-12,-13,1956-03-02,31.5
1957,57,1957-08-17,-10,1957-02-28,35.8
1958,60,1958-07-30,-3,1958-02-24,35.2
1959,57,1959-08-13,1,1959-03-12,35.2
1960,62,1960-07-15,-2,1960-04-07,33.8
1961,56,1961-07-09,-3,1961-02-28,33.4
1962,61,1962-07-26,-5,1962-01-31,34.1
1963,54,1963-08-05,2,1963-02-28,34.8
1964,56,1964-06-15,-10,1964-02-20,33.6
1965,55,1965-07-31,-8,1965-02-16,33.2
1966,55,1966-08-13,2,1966-03-31,35
1967,58,1967-08-07,9,1967-02-01,37.9
1968,55,1968-07-08,-7,1968-03-03,33.8
1969,63,1969-07-31,4,1969-03-22,36.3
1970,55,1970-08-26,-3,1970-02-05,34.3
1971,59,1971-08-02,-19,1971-03-14,30.6
1972,56,1972-08-03,-13,1972-02-16,31.7
1973,55,1973-07-23,0,1973-01-20,33.4
1974,54,1974-07-29,-6,1974-02-24,32.6
1975,56,1975-08-23,-14,1975-03-24,31.5
1976,58,1976-07-01,-14,1976-01-29,30
1977,63,1977-08-27,2,1977-04-11,36
1978,56,1978-08-05,0,1978-03-08,38
1979,61,1979-09-10,2,1979-12-28,39.7
1980,61,1980-07-19,-3,1980-01-19,36.2
1981,58,1981-07-23,-5,1981-02-20,36.3
1982,57,1982-08-05,3,1982-01-15,35.6
1983,54,1983-09-09,4,1983-04-07,36
1984,61,1984-06-27,-15,1984-02-18,34.3
1985,54,1985-09-01,-2,1985-04-05,34.9
1986,60,1986-06-14,-7,1986-01-05,35.1
1987,66,1987-08-25,1,1987-12-11,35.6
1988,59,1988-07-31,-10,1988-02-20,34.1
1989,60,1989-08-15,-7,1989-01-28,37.1
1990,57,1990-08-09,0,1990-02-24,35.7
1991,60,1991-07-07,-16,1991-02-06,34.4
1992,63,1992-07-28,-3,1992-02-29,33.8
1993,61,1993-07-22,-9,1993-01-31,36.8
1994,58,1994-07-18,-13,1994-03-25,34.5
1995,60,1995-08-20,-7,1995-03-17,34.7
1996,60,1996-07-06,-1,1996-02-10,38.1
1997,61,1997-08-08,-1,1997-01-31,35.4
1998,58,1998-07-24,0,1998-02-22,35.2
1999,54,1999-07-09,-2,1999-12-20,33.3
2000,62,2000-06-25,-8,2000-01-11,36.5
2001,56,2001-06-17,1,2001-12-22,35.8
2002,58,2002-08-07,-3,2002-02-09,36.4
2003,59,2003-07-20,9,2003-01-05,37.7
2004,61,2004-06-27,6,2004-01-19,37.5
2005,61,2005-07-31,6,2005-12-11,38.2
2006,58,2006-07-23,-4,2006-02-03,34.6
2007,59,2007-07-05,-6,2007-01-23,34.6
2008,65,2008-07-07,-4,2008-03-20,32.5
2009,57,2009-08-07,-6,2009-02-16,33.2
2010,62,2010-07-12,-14,2010-03-14,32.4
2011,58,2011-08-12,5,2011-02-13,35.1
2012,64,2012-08-13,-12,2012-02-02,31.4
2013,64,2013-07-22,-12,2013-02-25,34.2
2014,63,2014-07-31,-3,2014-03-15,38.2
2015,59,2015-06-18,6,2015-03-31,37.9
2016,62,2016-07-15,11,2016-03-09,40.3
2017,60,2017-08-06,-3,2017-02-19,37.2
2018,58,2018-07-26,6,2018-12-28,39.1
2019,64,2019-07-07,11,2019-12-29,39.6
2020,62,2020-07-24,1,2020-02-21,37.7
2021,57,2021-09-08,5,2021-01-08,38
2022,58,2022-08-10,-1,2022-02-08,36
Overall,66,1987-08-25,-26,1919-01-27,35